date,year,quarter,industry,subindustry,institutional_sector,gva_constant,gva_current,total_gva,industry_share_pct,qoq_growth_pct,yoy_growth_pct,industry_rank,rolling_avg_4q,growth_contribution,volatility,cumulative_gva
2021-04-01,2021-22,q1,construction,not specified,total gross saving,268829.3672,396017.7231,5728653.98683535,4.692714341235819,-25.287592738977448,86.98388864899107,6.0,286019.91645,-67980.47554030622,34.33409272830933,9633706.7188
2021-07-01,2021-22,q2,construction,not specified,total gross saving,263793.6051,396441.7406,6794105.224775558,3.8826835377533375,-1.8732187455746119,16.42601618693107,7.0,295324.275925,-4941.431260360265,24.8135403579594,9897500.3239
2021-10-01,2021-22,q3,construction,not specified,total gross saving,301090.2361,467708.2747,7138266.577456275,4.217974109441198,14.138565256675362,4.235689946551635,7.0,298383.02885,42569.83951247642,21.70327761817404,10198590.56
2022-01-01,2022-23,q4,construction,not specified,total gross saving,385228.5282,636942.2718,10827366.844281292,3.5579151767954253,27.944543532808375,7.06178044168202,7.0,304735.43415,107650.35376364598,22.86262668316463,10583819.0882
2022-04-01,2022-23,q1,construction,not specified,total gross saving,504835.6006,509477.7263,9490641.78079738,5.319298865767379,31.048342384939698,87.79034666417948,6.0,363736.9925,156743.0857553547,15.042951083198899,11088654.6888
2022-07-01,2022-23,q2,construction,not specified,total gross saving,501521.3686,501996.9504,7446320.694339953,6.7351567194952136,-0.6564972826918369,90.11885007973608,5.0,423168.93337499996,-3292.4741569779117,14.515191569602285,11590176.0574
2022-10-01,2022-23,q3,construction,not specified,total gross saving,328418.3243,537988.202,10311926.864301289,3.1848395418410758,-34.515586999456914,9.076378083188196,7.0,430000.955425,-113355.51244592505,30.522102183325465,11918594.3817
2023-01-01,2023-24,q4,construction,not specified,total gross saving,613152.5092,597544.3226,10826888.995540211,5.663238160588591,86.69862910569634,59.1659143379091,6.0,486981.950675,531594.8198035787,51.53560448494226,12531746.890899999
2023-04-01,2023-24,q1,construction,not specified,total gross saving,554052.7927,547741.8293,9071912.511514291,6.107342768096394,-9.638665032474435,9.749152405556405,6.0,499286.2487,-53403.292791422966,52.797298758764654,13085799.6836
2023-07-01,2023-24,q2,construction,not specified,total gross saving,321687.976,536228.9942,7835755.788911809,4.105385423767456,-41.939111175244506,-35.8575733476733,6.0,454327.90055,-134913.07789203388,59.32868715273122,13407487.659599999
